Year,Consumer Disc.,Consumer Stap.,Energy,Financials,Health Care,Industrials,IT,Materials,Telecom,Utilities
2014,9.68%,16.03%,-7.82%,15.17%,25.34%,9.82%,20.11%,6.88%,3.00%,29.04%
2013,43.07%,26.14%,25.12%,35.58%,41.50%,40.67%,28.36%,25.59%,11.54%,13.17%
2012,21.87%,7.52%,2.28%,26.31%,15.18%,12.53%,13.10%,12.21%,12.52%,-2.90%
2011,4.38%,10.50%,2.82%,-18.37%,10.24%,-2.91%,1.27%,-11.62%,0.76%,14.78%
2010,25.70%,10.73%,17.93%,10.80%,0.71%,23.89%,9.12%,19.86%,12.31%,0.89%
2009,41.28%,14.92%,13.79%,17.23%,19.71%,20.89%,61.66%,48.58%,8.94%,11.93%
2008,-34.68%,-17.70%,-35.90%,-57.00%,-24.52%,-41.46%,-43.69%,-46.96%,-33.59%,-31.50%
2007,-14.30%,11.62%,32.43%,-20.81%,5.38%,9.79%,15.49%,20.04%,8.44%,15.77%
2006,17.20%,11.76%,22.24%,16.19%,5.84%,11.00%,7.73%,15.72%,32.06%,16.88%
2005,-7.40%,1.33%,29.09%,3.72%,4.88%,0.41%,0.41%,2.23%,-8.98%,12.82%
2004,13.18%,8.18%,31.51%,10.88%,1.73%,18.00%,2.64%,13.19%,19.89%,24.29%
2003,36.13%,9.23%,22.38%,27.92%,13.29%,29.71%,46.62%,34.78%,3.32%,21.06%
2002,-24.39%,-6.31%,-13.31%,-16.44%,-19.98%,-27.62%,-37.60%,-7.68%,-35.90%,-33.00%
2001,2.02%,-8.33%,-12.29%,-10.49%,-12.94%,-7.02%,-25.98%,0.98%,-13.70%,-32.52%
2000,-19.42%,15.03%,12.97%,24.40%,34.28%,5.16%,-40.87%,-17.60%,-39.41%,52.71%
1999,21.24%,-2.82%,16.92%,1.13%,2.86%,16.79%,98.27%,24.26%,32.09%,-10.99%
1998,44.21%,15.80%,-1.39%,11.87%,44.52%,12.03%,80.49%,-5.97%,49.02%,10.83%
1997,32.32%,30.50%,22.01%,45.44%,41.68%,24.99%,28.09%,6.31%,37.11%,18.37%
1996,10.47%,23.16%,21.68%,31.91%,18.81%,22.67%,43.26%,13.40%,-2.16%,0.23%
1995,18.29%,35.47%,25.53%,49.04%,53.32%,35.50%,37.18%,17.80%,35.84%,25.19%
1994,-10.74%,5.71%,-0.87%,-7.12%,9.12%,-5.28%,18.19%,3.02%,-9.82%,-18.64%
1993,12.23%,-7.58%,10.79%,7.83%,-11.83%,15.71%,20.23%,10.86%,9.90%,7.18%
1992,18.24%,2.82%,-0.39%,19.19%,-18.03%,7.29%,0.14%,8.13%,11.87%,1.30%
1991,41.48%,41.70%,6.88%,49.08%,53.67%,29.46%,9.14%,25.52%,13.17%,23.90%
1990,-17.43%,11.48%,-1.80%,-25.57%,12.47%,-12.30%,-3.24%,-15.92%,-18.79%,-8.14%
